Name;Offset;Val_g3;Val_g4;Size;Type
OSS_CONF_FileCompatibility;0x00000000;0xCC01;0xCC01;2;Unsigned Short
Spare;0x00000002;0.0;0.0;2;Unsigned Char
OSS_CONF_PartNumber;0x00000004;SFI21T0181T01G3;SFI26T0181T01G4;15;String
Spare;0x00000013;0.0;0.0;13;Unsigned Char
CSS_PU_TASK_CONFIG;0x00000020;0x444FADEC;0xFADEC111;4;Unsigned Long
MCSS_CONFIGURATION;0x00000024;0.0;0.0;4;Unsigned Long
CSS_Fast_to_CSS_Slow_Start;0x00000028;0x21000000;0x21000000;4;Unsigned Long
CSS_Fast_to_CSS_Slow_Dest;0x0000002C;0x21000400;0x21000400;4;Unsigned Long
CSS_Fast_to_CSS_VSlow_Start;0x00000030;0x21000800;0x21000800;4;Unsigned Long
CSS_Fast_to_CSS_VSlow_Dest;0x00000034;0x21000C00;0x21000C00;4;Unsigned Long
CSS_Fast_to_CSS_BGrnd_Start;0x00000038;0x21001000;0x21001000;4;Unsigned Long
CSS_Fast_to_CSS_BGrnd_Dest;0x0000003C;0x21001400;0x21001400;4;Unsigned Long
CSS_Fast_to_MCSS_Period_Start;0x00000040;0x21001800;0x21001800;4;Unsigned Long
CSS_Fast_to_MCSS_Period_Dest;0x00000044;0x4002A000;0x4002A000;4;Unsigned Long
CSS_Slow_to_CSS_Fast_Start;0x00000048;0x21001C00;0x21001C00;4;Unsigned Long
CSS_Slow_to_CSS_Fast_Dest;0x0000004C;0x21002000;0x21002000;4;Unsigned Long
CSS_Slow_to_CSS_VSlow_Start;0x00000050;0x21002400;0x21002400;4;Unsigned Long
CSS_Slow_to_CSS_VSlow_Dest;0x00000054;0x21002800;0x21002800;4;Unsigned Long
CSS_Slow_to_CSS_BGrnd_Start;0x00000058;0x21002C00;0x21002C00;4;Unsigned Long
CSS_Slow_to_CSS_BGrnd_Dest;0x0000005C;0x21003000;0x21003000;4;Unsigned Long
CSS_VSlow_to_CSS_Fast_Start;0x00000060;0x21003400;0x21003400;4;Unsigned Long
CSS_VSlow_to_CSS_Fast_Dest;0x00000064;0x21003800;0x21003800;4;Unsigned Long
CSS_VSlow_to_CSS_Slow_Start;0x00000068;0x21003C00;0x21003C00;4;Unsigned Long
CSS_VSlow_to_CSS_Slow_Dest;0x0000006C;0x21004000;0x21004000;4;Unsigned Long
CSS_VSlow_to_CSS_BGrnd_Dest;0x00000070;0x21004400;0x21004400;4;Unsigned Long
CSS_VSlow_to_CSS_BGrnd_Start;0x00000074;0x21004800;0x21004800;4;Unsigned Long
CSS_BGrnd_to_CSS_Fast_Start;0x00000078;0x21004C00;0x21004C00;4;Unsigned Long
CSS_BGrnd_to_CSS_Fast_Dest;0x0000007C;0x21005000;0x21005000;4;Unsigned Long
CSS_BGrnd_to_CSS_Slow_Start;0x00000080;0x21005400;0x21005400;4;Unsigned Long
CSS_BGrnd_to_CSS_Slow_Dest;0x00000084;0x21005800;0x21005800;4;Unsigned Long
CSS_BGrnd_to_CSS_VSlow_Start;0x00000088;0x21005C00;0x21005C00;4;Unsigned Long
CSS_BGrnd_to_CSS_VSlow_Dest;0x0000008C;0x21006000;0x21006000;4;Unsigned Long
MCSS_Period_to_CSS_Fast_Start;0x00000090;0x4002A400;0x4002A400;4;Unsigned Long
MCSS_Period_to_CSS_Fast_Dest;0x00000094;0x21006400;0x21006400;4;Unsigned Long
Definitive_Reset_Threshold;0x00000098;3.0;3.0;4;Unsigned Long
ShortOccurrenceTrigger ;0x0000009C;255.0;255.0;4;Unsigned Long
XRB_CALRES_SELECT;0x000000A0;1.0;1.0;4;Unsigned Long
LVDTA_SENSOR_TYPE;0x000000A4;0.0;0.0;4;Unsigned Long
LVDTA_EXC_FREQ;0x000000A8;0.0;0.0;4;Unsigned Long
LVDTB_SENSOR_TYPE;0x000000AC;0.0;0.0;4;Unsigned Long
LVDTB_EXC_FREQ;0x000000B0;0.0;0.0;4;Unsigned Long
LVDTC_SENSOR_TYPE;0x000000B4;0.0;0.0;4;Unsigned Long
LVDTC_EXC_FREQ;0x000000B8;0.0;0.0;4;Unsigned Long
NGALT_NMAX;0x000000BC;10.0;10.0;4;Unsigned Long
NGALT_NMIN;0x000000C0;1.0;1.0;4;Unsigned Long
NGALT_NREV;0x000000C4;1.0;1.0;4;Unsigned Long
NGALT_INC_1_TH_SEL;0x000000C8;3.0;3.0;4;Unsigned Long
NGALT_TH_FREQUENCY;0x000000CC;36.0;36.0;4;Float32
